ID,Title,Prompt,Category,Tags,Reference,Quick Access,Created Date
cin-001,"Epic Wide Shot","cinematic wide shot, epic scale, dramatic lighting, anamorphic lens flare, film grain, 70mm IMAX, professional cinematography",Cinematic Shots,wide; epic; dramatic,Dune, Lawrence of Arabia style cinematography,Yes,9/22/2025
cin-002,"Intimate Close-Up","extreme close-up shot, shallow depth of field, bokeh, intimate lighting, emotional portrait, cinematic color grading",Cinematic Shots,closeup; portrait; intimate,@prompt_1758598565345,Yes,9/22/2025
cin-003,"Action Sequence","dynamic action shot, motion blur, high speed cinematography, dramatic angles, intense movement, cinematic tension",Cinematic Shots,action; dynamic; motion,@prompt_1758598565369,No,9/22/2025
cin-004,"Establishing Shot","establishing shot, wide angle lens, deep focus, location reveal, environmental storytelling, cinematic composition",Cinematic Shots,establishing; wide; location,@prompt_1758598565396,No,9/22/2025
cin-005,"Dutch Angle Drama","dutch angle shot, tilted camera, psychological tension, dramatic composition, film noir influence, unsettling perspective",Cinematic Shots,dutch; angle; dramatic,@prompt_1758598565428,No,9/22/2025
cin-006,"Tracking Shot","smooth tracking shot, steadicam movement, following subject, dynamic camera motion, cinematic flow, professional dolly work",Cinematic Shots,tracking; movement; dolly,@prompt_1758598565462,No,9/22/2025
char-001,"Hero Portrait","@character heroic pose, confident expression, dramatic backlighting, superhero aesthetic, powerful stance, cinematic portrait",Character Styles,hero; portrait; powerful,@prompt_1758598565489,Yes,9/22/2025
char-002,"Villain Reveal","@character sinister expression, dramatic shadows, low key lighting, menacing presence, dark atmosphere, villain aesthetic",Character Styles,villain; dark; menacing,@prompt_1758598565520,No,9/22/2025
char-003,"Emotional Character","@character emotional expression, tears, vulnerable moment, soft lighting, intimate framing, raw emotion",Character Styles,emotional; vulnerable; intimate,@prompt_1758598565555,No,9/22/2025
char-004,"Character in Action","@character mid-action pose, dynamic movement, motion blur, athletic form, intense concentration, action hero shot",Character Styles,action; dynamic; athletic,@prompt_1758598565587,No,9/22/2025
char-005,"Period Character","@character period costume, historical accuracy, vintage aesthetic, classical portrait style, authentic details",Character Styles,period; historical; vintage,@prompt_1758598565621,No,9/22/2025
char-006,"Sci-Fi Character","@character futuristic outfit, sci-fi aesthetic, holographic elements, cyberpunk style, neon accents, tech wear",Character Styles,scifi; futuristic; cyberpunk,@prompt_1758598565655,No,9/22/2025
light-001,"Golden Hour Magic","golden hour lighting, warm tones, long shadows, sun flare, magic hour cinematography, soft warm light",Lighting Setups,golden; warm; sunset,@prompt_1758598565689,Yes,9/22/2025
light-002,"Film Noir Lighting","film noir lighting, high contrast, venetian blind shadows, black and white aesthetic, dramatic shadows",Lighting Setups,noir; contrast; shadows,@prompt_1758598565728,No,9/22/2025
light-003,"Rembrandt Lighting","Rembrandt lighting, triangle light on face, classical portrait lighting, chiaroscuro, dramatic single source",Lighting Setups,rembrandt; portrait; classical,@prompt_1758598565766,No,9/22/2025
light-004,"Neon Cyberpunk","neon lighting, cyberpunk aesthetic, colorful glow, urban night scene, LED reflections, futuristic atmosphere",Lighting Setups,neon; cyberpunk; colorful,@prompt_1758598565807,No,9/22/2025
light-005,"Soft Box Studio","studio lighting, soft box setup, even illumination, professional photography, clean shadows, commercial quality",Lighting Setups,studio; soft; professional,@prompt_1758598565848,No,9/22/2025
light-006,"Moonlight Scene","moonlight illumination, blue tones, night scene, soft shadows, ethereal glow, nocturnal atmosphere",Lighting Setups,moon; night; blue,@prompt_1758598565895,No,9/22/2025
env-001,"Post-Apocalyptic City","abandoned cityscape, post-apocalyptic environment, overgrown vegetation, destroyed buildings, atmospheric fog",Environments,apocalyptic; city; abandoned,@prompt_1758598565940,No,9/22/2025
env-002,"Fantasy Forest","enchanted forest, magical atmosphere, bioluminescent plants, mystical fog, fantasy environment, ethereal lighting",Environments,fantasy; forest; magical,@prompt_1758598565987,Yes,9/22/2025
env-003,"Futuristic Metropolis","futuristic city skyline, flying vehicles, holographic billboards, neon lights, cyberpunk architecture, sci-fi urban",Environments,futuristic; city; scifi,@prompt_1758598566034,No,9/22/2025
env-004,"Victorian London","Victorian era London, gaslight streets, fog, cobblestones, period architecture, industrial revolution atmosphere",Environments,victorian; london; period,@prompt_1758598566088,No,9/22/2025
env-005,"Alien Landscape","alien planet surface, otherworldly terrain, strange rock formations, multiple moons, exotic atmosphere",Environments,alien; planet; scifi,@prompt_1758598566136,No,9/22/2025
env-006,"Underwater Scene","underwater environment, coral reef, caustic light patterns, marine life, deep sea atmosphere, aquatic lighting",Environments,underwater; ocean; aquatic,@prompt_1758598566184,No,9/22/2025
fx-001,"Particle Explosion","particle effects, explosive debris, dynamic destruction, slow motion explosion, cinematic VFX, dramatic impact",Special Effects,explosion; particles; vfx,@prompt_1758598566239,No,9/22/2025
fx-002,"Magic Spell Effect","magical energy effect, glowing particles, spell casting, mystical aura, fantasy VFX, ethereal light trails",Special Effects,magic; spell; fantasy,@prompt_1758598566290,No,9/22/2025
fx-003,"Holographic Display","holographic projection, futuristic interface, sci-fi technology, translucent display, digital effects",Special Effects,hologram; scifi; tech,@prompt_1758598566344,No,9/22/2025
fx-004,"Weather Effects","heavy rain effect, lightning strike, storm atmosphere, weather dynamics, atmospheric conditions",Special Effects,weather; rain; storm,@prompt_1758598566430,No,9/22/2025
fx-005,"Time Distortion","time manipulation effect, motion trails, temporal distortion, clock elements, surreal time bending",Special Effects,time; distortion; surreal,@prompt_1758598566486,No,9/22/2025
mood-001,"Dark & Moody","dark atmosphere, moody lighting, psychological thriller mood, tension, shadowy environment, noir aesthetic",Moods & Atmosphere,dark; moody; thriller,@prompt_1758598566544,No,9/22/2025
mood-002,"Dreamlike Surreal","dreamlike quality, surreal atmosphere, soft focus, ethereal mood, fantasy elements, otherworldly feeling",Moods & Atmosphere,dream; surreal; ethereal,@prompt_1758598566608,No,9/22/2025
mood-003,"Romantic Atmosphere","romantic mood, soft lighting, warm colors, intimate atmosphere, gentle bokeh, love story aesthetic",Moods & Atmosphere,romantic; soft; warm,@prompt_1758598566666,No,9/22/2025
mood-004,"Horror Tension","horror atmosphere, creepy environment, unsettling mood, dark corners, psychological fear, suspenseful lighting",Moods & Atmosphere,horror; creepy; suspense,@prompt_1758598566726,No,9/22/2025
mood-005,"Epic Adventure","adventure mood, epic scale, heroic atmosphere, grand landscapes, journey feeling, inspirational tone",Moods & Atmosphere,epic; adventure; heroic,@prompt_1758598566789,No,9/22/2025
cam-001,"Low Angle Power","low angle shot, looking up, powerful perspective, heroic framing, dramatic sky background, imposing presence",Camera Angles,low; angle; power,@prompt_1758598566853,No,9/22/2025
cam-002,"High Angle Overview","high angle shot, looking down, bird's eye perspective, overview composition, vulnerable subject position",Camera Angles,high; angle; overview,@prompt_1758598566916,No,9/22/2025
cam-003,"Over the Shoulder","over the shoulder shot, POV perspective, conversation framing, intimate dialogue, character interaction",Camera Angles,ots; pov; dialogue,@prompt_1758598566989,No,9/22/2025
cam-004,"Aerial Drone Shot","aerial drone shot, sweeping landscape, bird's eye view, cinematic overhead, dynamic height perspective",Camera Angles,aerial; drone; landscape,@prompt_1758598567055,No,9/22/2025
cam-005,"Handheld Documentary","handheld camera style, documentary feel, raw authentic movement, cinema verite, realistic camera shake",Camera Angles,handheld; documentary; authentic,@prompt_1758598567122,No,9/22/2025
style-001,"Cinematic Realism","photorealistic rendering, cinematic quality, high detail, professional color grading, filmic look",Art Styles,realistic; cinematic; detailed,@prompt_1758598567189,No,9/22/2025
style-002,"Stylized Animation","stylized 3D animation, Pixar quality, expressive characters, vibrant colors, animated film aesthetic",Art Styles,animated; stylized; pixar,@prompt_1758598567258,No,9/22/2025
style-003,"Graphic Novel","graphic novel style, comic book aesthetic, bold lines, dramatic shading, illustrated look",Art Styles,comic; graphic; illustrated,@prompt_1758598567335,No,9/22/2025
style-004,"Watercolor Dream","watercolor painting style, soft edges, artistic brushstrokes, dreamy quality, painterly aesthetic",Art Styles,watercolor; painterly; artistic,@prompt_1758598567408,No,9/22/2025
style-005,"Retro 80s","80s retro style, synthwave aesthetic, neon colors, vintage film look, nostalgic atmosphere",Art Styles,retro; 80s; synthwave,@prompt_1758598567480,No,9/22/2025