Service,Model,Generation_Type,Actual_Cost_USD,Strategic_Points,Point_Value_USD,Profit_Margin_Percent,User_Scenario
Replicate,Gen4_Image,Image_Generation,0.008,1,0.01,25,Typical_User
Replicate,Gen4_Image_Turbo,Image_Generation,0.005,1,0.01,100,Budget_User
Replicate,Seedance_1_Lite,Video_5sec_720p,0.04,5,0.05,25,Typical_User
Replicate,Seedance_1_Pro,Video_5sec_1080p,0.08,8,0.08,0,Quality_User
OpenRouter,KIMI_K2_Free,Text_Generation,0.000,0,0.00,Infinite,All_Users
OpenRouter,KIMI_VL_A3B,Text_Generation,0.001,0,0.00,Infinite,Smart_User
OpenRouter,Qwen_Turbo,Text_Generation,0.002,0,0.00,Infinite,Budget_User
OpenRouter,DeepSeek_V3.1,Text_Generation,0.008,1,0.01,25,Quality_User
OpenRouter,GPT-4o_Mini,Text_Generation,0.006,1,0.01,67,Standard_User
OpenRouter,GPT-4o,Text_Generation,0.13,15,0.15,15,Premium_User
OpenRouter,Claude_3.5_Sonnet,Text_Generation,0.11,12,0.12,9,Premium_User

Extreme_User_Scenario,Story_Generation,5_Stories,0.005,0,0.00,Infinite,Free_Models
Extreme_User_Scenario,Character_Extraction,15_Extractions,0.015,0,0.00,Infinite,Free_Models
Extreme_User_Scenario,Gen4_Image_Generation,90_Images,0.720,90,0.90,25,Mixed_Quality
Extreme_User_Scenario,Seedance_Video_Generation,160_Videos,6.400,800,8.00,25,Mixed_Quality
Extreme_User_Scenario,Total_Monthly_Cost,All_Combined,7.140,890,8.90,25,Heavy_User

Typical_User_Monthly,Story_Generation,10_Stories,0.000,0,0.00,Infinite,Free_Models
Typical_User_Monthly,Character_Extraction,30_Extractions,0.000,0,0.00,Infinite,Free_Models
Typical_User_Monthly,Gen4_Image_Generation,20_Images,0.160,20,0.20,25,Standard_Quality
Typical_User_Monthly,Seedance_Video_Generation,5_Videos,0.200,25,0.25,25,Occasional_Video
Typical_User_Monthly,Total_Monthly_Cost,All_Combined,0.360,45,0.45,25,Smart_User

Budget_User_Monthly,Story_Generation,20_Stories,0.000,0,0.00,Infinite,Free_Models_Only
Budget_User_Monthly,Character_Extraction,60_Extractions,0.000,0,0.00,Infinite,Free_Models_Only
Budget_User_Monthly,Gen4_Image_Generation,10_Images,0.050,10,0.10,100,Turbo_Only
Budget_User_Monthly,Seedance_Video_Generation,2_Videos,0.080,10,0.10,25,Lite_Only
Budget_User_Monthly,Total_Monthly_Cost,All_Combined,0.130,20,0.20,25,Budget_Conscious

Point_System_Design,Free_Tier,25_Generations,0.000,0,0.00,Infinite,Free_Models_Only
Point_System_Design,Creator_Pro_20USD,2000_Points,7.00,2000,20.00,186,Mixed_Usage
Point_System_Design,Studio_Pro_50USD,6000_Points,25.00,6000,60.00,140,Heavy_Usage
Point_System_Design,Enterprise_200USD,25000_Points,120.00,25000,250.00,108,Extreme_Usage

Competitive_Analysis,Midjourney_Standard,900_Images_Month,270.00,N/A,30.00,N/A,Image_Only
Competitive_Analysis,RunwayML_Pro,Video_Credits,N/A,N/A,35.00,N/A,Video_Only
Competitive_Analysis,LTX_Studio_Standard,8_Hours_Compute,N/A,N/A,35.00,N/A,Video_Only
Competitive_Analysis,ChatGPT_Plus,Text_DALLE,N/A,N/A,20.00,N/A,General_Purpose
Competitive_Analysis,Directors_Palette_Pro,Complete_Workflow,7.00,2000,20.00,186,All_Formats

Model_Efficiency_Analysis,Free_Model_Usage,Unlimited,0.000,0,0.00,Infinite,Smart_Default
Model_Efficiency_Analysis,Cheap_Model_Usage,High_Volume,0.002,0,0.00,Infinite,Budget_Option
Model_Efficiency_Analysis,Premium_Model_Usage,Quality_Focused,0.100,10,0.10,0,When_Needed
Model_Efficiency_Analysis,Video_Generation,Rate_Limited,0.040,5,0.05,25,Controlled_Usage